Iterations,Direction,Frequency,Cars per train,Station limit,Inbound contagious,Output mean,Output lower 95%,Output upper 95%,Timing mean,Timing lower 95%,Timing upper 95%,Rebuffed mean,Rebuffed lower 95%,Rebuffed upper 95%
1000,Brooklyn bound,Normal,8,∞,0.010,0.00447,0.00421,0.00473,1.47736,1.46584,1.48887,0.00000,0.00000,0.00000
1000,Brooklyn bound,Normal,9,∞,0.010,0.00170,0.00155,0.00186,1.49913,1.48735,1.51091,0.00000,0.00000,0.00000
1000,Brooklyn bound,Normal,10,∞,0.010,0.00065,0.00057,0.00073,1.47251,1.46028,1.48474,0.00000,0.00000,0.00000
1000,Brooklyn bound,Normal,11,∞,0.010,0.00021,0.00015,0.00026,1.47629,1.46430,1.48828,0.00000,0.00000,0.00000
1000,Brooklyn bound,Normal,12,∞,0.010,0.00007,0.00004,0.00010,1.54993,1.53756,1.56230,0.00000,0.00000,0.00000
1000,Brooklyn bound,Normal,13,∞,0.010,0.00003,0.00000,0.00005,1.53196,1.51969,1.54422,0.00000,0.00000,0.00000
1000,Brooklyn bound,Normal,14,∞,0.010,0.00000,0.00000,0.00000,1.56299,1.55067,1.57530,0.00000,0.00000,0.00000
1000,Brooklyn bound,Normal,15,∞,0.010,0.00000,0.00000,0.00000,1.70725,1.69325,1.72125,0.00000,0.00000,0.00000
1000,Brooklyn bound,Normal,16,∞,0.010,0.00000,0.00000,0.00000,1.78890,1.77479,1.80301,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,8,∞,0.010,0.06177,0.06104,0.06249,1.65232,1.64122,1.66342,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,9,∞,0.010,0.04219,0.04155,0.04283,1.46539,1.45597,1.47481,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,10,∞,0.010,0.02827,0.02765,0.02890,1.44164,1.43249,1.45079,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,11,∞,0.010,0.01020,0.00965,0.01075,1.41182,1.40177,1.42187,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,12,∞,0.010,0.00391,0.00355,0.00427,1.41296,1.40333,1.42260,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,13,∞,0.010,0.00111,0.00093,0.00129,1.42119,1.41187,1.43050,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,14,∞,0.010,0.00051,0.00039,0.00062,1.46648,1.45731,1.47565,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,15,∞,0.010,0.00007,0.00003,0.00011,1.48381,1.47460,1.49301,0.00000,0.00000,0.00000
1000,Manhattan bound,Normal,16,∞,0.010,0.00000,0.00000,0.00000,1.64949,1.63521,1.66377,0.00000,0.00000,0.00000
