Iterations,Direction,Frequency,Cars per train,Station limit,Inbound contagious,Output mean,Output lower 95%,Output upper 95%,Timing mean,Timing lower 95%,Timing upper 95%,Rebuffed mean,Rebuffed lower 95%,Rebuffed upper 95%
1000,Manhattan bound,Normal,8,50,0.01,0.00000,0.00000,0.00000,1.27771,1.27124,1.28418,0.57537,0.57506,0.57569
1000,Manhattan bound,Normal,8,60,0.01,0.00000,0.00000,0.00000,1.25365,1.24707,1.26023,0.50194,0.50160,0.50228
1000,Manhattan bound,Normal,8,70,0.01,0.00001,0.00000,0.00002,1.31377,1.30732,1.32022,0.42780,0.42745,0.42814
1000,Manhattan bound,Normal,8,80,0.01,0.00006,0.00002,0.00009,1.31781,1.31173,1.32389,0.35639,0.35602,0.35675
1000,Manhattan bound,Normal,8,90,0.01,0.00035,0.00027,0.00043,1.37277,1.36559,1.37995,0.29058,0.29021,0.29096
1000,Manhattan bound,Normal,8,100,0.01,0.00054,0.00045,0.00064,1.38914,1.38218,1.39610,0.23489,0.23451,0.23526
1000,Manhattan bound,Normal,8,110,0.01,0.00065,0.00054,0.00075,1.41567,1.40883,1.42252,0.18938,0.18905,0.18972
1000,Manhattan bound,Normal,8,120,0.01,0.00059,0.00049,0.00069,1.45275,1.44478,1.46071,0.15296,0.15265,0.15327
1000,Manhattan bound,Normal,8,130,0.01,0.00059,0.00049,0.00069,1.45381,1.44624,1.46138,0.12378,0.12349,0.12408
1000,Manhattan bound,Normal,8,140,0.01,0.00084,0.00073,0.00095,1.46745,1.46006,1.47483,0.10051,0.10023,0.10079
1000,Manhattan bound,Normal,8,150,0.01,0.00094,0.00082,0.00106,1.47904,1.47134,1.48673,0.08110,0.08085,0.08134
1000,Brooklyn bound,Normal,8,50,0.01,0.00001,0.00000,0.00001,1.34240,1.33468,1.35013,0.47343,0.47299,0.47387
1000,Brooklyn bound,Normal,8,60,0.01,0.00007,0.00004,0.00010,1.41798,1.40995,1.42601,0.39225,0.39183,0.39267
1000,Brooklyn bound,Normal,8,70,0.01,0.00043,0.00036,0.00051,1.47478,1.46634,1.48321,0.31717,0.31675,0.31760
1000,Brooklyn bound,Normal,8,80,0.01,0.00268,0.00250,0.00287,1.53840,1.52855,1.54824,0.24836,0.24795,0.24876
1000,Brooklyn bound,Normal,8,90,0.01,0.00414,0.00393,0.00435,1.56657,1.55703,1.57612,0.18978,0.18939,0.19016
1000,Brooklyn bound,Normal,8,100,0.01,0.00597,0.00571,0.00623,1.65235,1.64280,1.66191,0.14095,0.14061,0.14129
1000,Brooklyn bound,Normal,8,110,0.01,0.00702,0.00673,0.00731,1.66351,1.65218,1.67484,0.10236,0.10208,0.10265
1000,Brooklyn bound,Normal,8,120,0.01,0.00731,0.00700,0.00761,1.67479,1.66422,1.68537,0.07194,0.07168,0.07220
1000,Brooklyn bound,Normal,8,130,0.01,0.00698,0.00668,0.00728,1.70893,1.69841,1.71946,0.04759,0.04737,0.04781
1000,Brooklyn bound,Normal,8,140,0.01,0.00659,0.00630,0.00687,1.69595,1.68603,1.70587,0.02951,0.02932,0.02970
1000,Brooklyn bound,Normal,8,150,0.01,0.00679,0.00650,0.00708,1.72223,1.71189,1.73257,0.01639,0.01625,0.01654
